City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Jasper,US,2022-01-21 21:28:21,few clouds,37.2001,-94.3502,33.06,28,20,3.0
249,Chuy,UY,2022-01-21 21:28:21,broken clouds,-33.6971,-53.4616,80.04,79,75,17.18
250,Ostrovnoy,RU,2022-01-21 21:28:21,overcast clouds,68.0531,39.5131,25.27,70,100,12.77
251,Oksfjord,NO,2022-01-21 21:28:22,overcast clouds,70.2396,22.3479,29.32,88,100,11.56
252,Aktash,RU,2022-01-21 21:28:22,broken clouds,50.3,87.7333,-16.6,90,61,4.0
253,Kodinsk,RU,2022-01-21 21:28:22,overcast clouds,58.6881,99.1844,-9.63,100,100,0.87
254,Conselheiro Pena,BR,2022-01-21 21:28:22,scattered clouds,-19.1722,-41.4722,81.48,74,42,2.37
255,Pisco,PE,2022-01-21 21:25:41,clear sky,-13.7,-76.2167,77.05,65,0,23.02
256,Ponta Do Sol,PT,2022-01-21 21:28:23,overcast clouds,32.6667,-17.1,66.7,64,100,13.89
257,Sirsi,IN,2022-01-21 21:28:23,scattered clouds,14.6167,74.85,61.83,97,38,3.85
258,Ulladulla,AU,2022-01-21 21:28:23,overcast clouds,-35.35,150.4667,67.1,68,96,2.17
259,Xiongzhou,CN,2022-01-21 21:28:24,light rain,25.1167,114.3,59.77,77,100,1.12
